ipen,determination,multiplication,hivernage,protectionHiv1,protectionHiv2,taxonFamille1,taxonControle,taxonBiblio,periodeDeSemis,idTaxon,secteur
XX 0 FRIBG 10003133,,,,,,Bromeliaceae,,,,Aechmea fasciata (Lindl.) Baker,Serre 2
XX 0 FRIBG 10000453,,,,,,Bromeliaceae,,,,Aechmea fulgens Brongn.,Serre 4
XX 0 FRIBG 10000453,,,,,,Bromeliaceae,,,,Aechmea fulgens Brongn.,Serre 2
XX 0 FRIBG 10003134,,,,,,Bromeliaceae,,,,Aechmea fulgens Brongn. 'Discolor',Serre 4
XX 0 FRIBG 10003134,,,,,,Bromeliaceae,,,,Aechmea fulgens Brongn. 'Discolor',Serre 2
XX 0 FRIBG 10003167,,,,,,Bromeliaceae,,,,Aechmea lueddemanniana (K. Koch) Mez,Serre 4
XX 0 FRIBG 10000523,"Sciboz Jacques, 2005",,,,,Poaceae,,,16,Aegilops ovata L.,Système 4
XX 0 FRIBG 20031227,"Kozlwski Gregor, 2008",,,,,Poaceae,,,40,Aegilops speltoides Tausch subsp. speltoides,Système 4
XX 0 FRIBG 20090462,,,,,,Poaceae,,,16,Aegilops tauschii Coss.,Système 4
XX 0 FRIBG 20050530,"Sciboz Jacques, 2005",,,,,Poaceae,,,16,Aegilops ventricosa Tausch,Système 4
XX 0 FRIBG 10000524,,,,,,Apiaceae,,,,Aegopodium podagraria L.,Système 1
XX 0 FRIBG 20120339,,,,,,Crassulaceae,,,,Aeonium arboreum (L.) Webb et Berthel. var. arboreum,Serre 1 Canar.
ES 0 FRIBG 19970465,,,,,,Crassulaceae,,,,Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu,Serre 1 Canar.
ES 0 FRIBG 20000368,,,,,,Crassulaceae,,,,Aeonium canariense var. palmense (Christ) H.Y. Liu,Serre 1 Canar.
XX 0 GIESS 2005-HO-206-2,,,,,,Crassulaceae,,,,Aeonium canariense var. virgineum (Christ) H.Y. Liu,Serre 1 Canar.
XX 0 WUPPT 90254770,,,,,,Crassulaceae,,,,Aeonium haworthii Webb et Berthel.,Serre 1 Canar.
XX 0 FRIBG 19920602,,,,,,Crassulaceae,,,,Aeonium haworthii Webb et Berthel.,Serre 1 Canar.
XX 0 FRIBG 20210230,,,,,,Crassulaceae,,,,Aeonium lindleyi Webb et Berthel,Multiplication
XX 0 FRIBG 20010148,,,,,,Crassulaceae,,,,Aeonium mascaense D. Bramwell,Serre 1 Canar.
XX 0 FRIBG 20060203,,,,,,Crassulaceae,,,,Aeonium sedifolium (Bolle) Pit. et Proust,Serre 1 Canar.
