ott_id,organism_otol_kingdom,organism_otol_phylum,organism_otol_class,organism_otol_order,organism_otol_family,organism_otol_genus,organism_otol_species,organism_otol_unique_name,organism_otol_kingdom_ott_id_ott_id,organism_otol_phylum_ott_id,organism_otol_class_ott_id,organism_otol_order_ott_id,organism_otol_family_ott_id,organism_otol_genus_ott_id,organism_otol_species_ott_id,flags,rank
913641,Archaeplastida,Streptophyta,Magnoliopsida,Poales,Cyperaceae,Eriophorum,,Eriophorum scheuchzeri,5268475,916750,99252,921871,105574,790595,,[],species
913837,Archaeplastida,Streptophyta,Magnoliopsida,Poales,Cyperaceae,Eleocharis,,Eleocharis palustris,5268475,916750,99252,921871,105574,790600,,[],species
914239,Archaeplastida,Streptophyta,Magnoliopsida,Santalales,Santalaceae,Viscum,,Viscum album,5268475,916750,99252,648888,873718,914230,,[],species
914361,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Thymus,,Thymus herba-barona,5268475,916750,99252,23736,544714,907454,,[],species
914816,Archaeplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Bromus,,Bromus arvensis,5268475,916750,99252,921871,508090,83458,,[],species
914850,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Sideritis,,Sideritis hyssopifolia,5268475,916750,99252,23736,544714,762742,,[],species
914930,Archaeplastida,Streptophyta,Magnoliopsida,Saxifragales,Crassulaceae,Rhodiola,,Rhodiola rosea,5268475,916750,99252,648890,509332,526587,,[],species
915024,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Orchidaceae,Cephalanthera,,Cephalanthera damasonium,5268475,916750,99252,557124,568878,915020,,[],species
915109,Archaeplastida,Streptophyta,Polypodiopsida,Polypodiales,Thelypteridaceae,Thelypteris,,Thelypteris palustris,5268475,916750,166292,93178,1092198,915098,,[],species
915458,Archaeplastida,Streptophyta,Magnoliopsida,Saxifragales,Crassulaceae,Crassula,,Crassula perfoliata,5268475,916750,99252,648890,509332,509328,,[],species
916001,Archaeplastida,Streptophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Jatropha,,Jatropha curcas,5268475,916750,99252,429482,914245,864024,,[],species
916052,Archaeplastida,Streptophyta,Magnoliopsida,Sapindales,Meliaceae,Melia,,Melia azedarach,5268475,916750,99252,229288,655984,655982,,[],species
916076,Archaeplastida,Streptophyta,Magnoliopsida,Saxifragales,Hamamelidaceae,Fothergilla,,Fothergilla gardenii,5268475,916750,99252,648890,737324,1009305,,[],species
916414,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Gesneriaceae,Aeschynanthus,,Aeschynanthus fulgens,5268475,916750,99252,23736,913162,711765,,[],species
918069,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Cactaceae,Mammillaria,,Mammillaria magnifica,5268475,916750,99252,216628,584111,226780,,[],species
918839,Archaeplastida,Streptophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,,Diospyros lotus,5268475,916750,99252,648892,393337,525017,,[],species
920651,Archaeplastida,Streptophyta,Magnoliopsida,Gentianales,Apocynaceae,Ceropegia,,Ceropegia sandersonii,5268475,916750,99252,524062,524059,749463,,[],species
920710,Archaeplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Avena,,Avena sterilis,5268475,916750,99252,921871,508090,790365,,[],species
920718,Archaeplastida,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Hieracium,,Hieracium piloselloides,5268475,916750,99252,1042120,46248,23821,,['sibling_higher'],species
920868,Archaeplastida,Streptophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,,Lonicera alpigena,5268475,916750,99252,659705,69534,649885,,[],species
921030,Archaeplastida,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,,Achillea macrophylla,5268475,916750,99252,1042120,46248,828101,,[],species
921503,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,,Allium siculum,5268475,916750,99252,557124,17701,781603,,[],species
922130,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Iridaceae,Tigridia,,Tigridia pavonia,5268475,916750,99252,557124,1087540,114732,,[],species
922384,Archaeplastida,Streptophyta,Magnoliopsida,Geraniales,Geraniaceae,Pelargonium,,Pelargonium patulum,5268475,916750,99252,648900,948914,372825,,[],species
923412,Archaeplastida,Streptophyta,Magnoliopsida,Sapindales,Meliaceae,Khaya,,Khaya senegalensis,5268475,916750,99252,229288,655984,548510,,[],species
923690,Archaeplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Poa,,Poa compressa,5268475,916750,99252,921871,508090,985636,,['sibling_higher'],species
923691,Archaeplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Poa,,Poa cenisia,5268475,916750,99252,921871,508090,985636,,['sibling_higher'],species
923984,Archaeplastida,Streptophyta,Magnoliopsida,Rosales,Moraceae,Brosimum,,Brosimum alicastrum,5268475,916750,99252,208031,84017,923986,,[],species
924511,Archaeplastida,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Asperula,,Asperula arvensis,5268475,916750,99252,524062,1014022,892949,,[],species
924905,Archaeplastida,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Chondrilla,,Chondrilla juncea,5268475,916750,99252,1042120,46248,155222,,[],species
925265,Archaeplastida,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Alkekengi,,Alkekengi officinarum,5268475,916750,99252,1050255,473827,7054687,,[],species
925289,Archaeplastida,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Lepidium,,Lepidium sativum,5268475,916750,99252,8844,309271,567804,,[],species
925303,Archaeplastida,Streptophyta,Magnoliopsida,Rosales,Urticaceae,Parietaria,,Parietaria judaica,5268475,916750,99252,208031,658494,630640,,[],species
927746,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Asphodelaceae,Haworthiopsis,,Haworthiopsis reinwardtii,5268475,916750,99252,557124,461417,5715855,,[],species
927753,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Asphodelaceae,Haworthiopsis,,Haworthiopsis limifolia,5268475,916750,99252,557124,461417,5715855,,[],species
928210,Archaeplastida,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rosa,,Rosa mollis,5268475,916750,99252,208031,208036,259066,,['incertae_sedis_inherited'],species
928278,Archaeplastida,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla,,Potentilla uniflora,5268475,916750,99252,208031,208036,187939,,['incertae_sedis_inherited'],species
928414,Archaeplastida,Streptophyta,Magnoliopsida,Ericales,Balsaminaceae,,,Impatiens,5268475,916750,99252,648892,289350,,,[],genus
928421,Archaeplastida,Streptophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,,Ranunculus sardous,5268475,916750,99252,872975,387826,387812,,['sibling_higher'],species
928422,Archaeplastida,Streptophyta,Magnoliopsida,Ranunculales,Berberidaceae,Podophyllum,,Podophyllum peltatum,5268475,916750,99252,872975,297866,928423,,[],species
928430,Archaeplastida,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Lablab,,Lablab purpureus,5268475,916750,99252,956360,560323,858038,,[],species
928569,Archaeplastida,Streptophyta,Magnoliopsida,Ranunculales,Papaveraceae,Lamprocapnos,,Lamprocapnos spectabilis,5268475,916750,99252,872975,438092,928574,,[],species
929920,Archaeplastida,Streptophyta,Magnoliopsida,Poales,Cyperaceae,Carex,,Carex firma,5268475,916750,99252,921871,105574,8151,,['sibling_higher'],species
929932,Archaeplastida,Streptophyta,Magnoliopsida,Poales,Cyperaceae,Carex,,Carex flacca,5268475,916750,99252,921871,105574,8151,,['sibling_higher'],species
930407,Archaeplastida,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Hibiscus,,Hibiscus syriacus,5268475,916750,99252,229284,279960,83402,,[],species
933614,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,,Allium lusitanicum,5268475,916750,99252,557124,17701,781603,,[],species
933628,Archaeplastida,Streptophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,,Asplenium ruta-muraria,5268475,916750,166292,93178,127293,38492,,[],species
